1 & 2 & 3 & 4 \\
d1-1-lightheaded & 2.08 & 2.43 & 0.55 & 5.18 \\
d1-2-fainting & 0.17 & 0.53 & 0.13 & 2.45 \\
d2-3-drowsiness & 2.51 & 2.77 & 0.97 & 7 \\
d2-4-fatigue & 4.84 & 6.29 & 1.3 & 7.31 \\
d2-5-insomnia & 3.16 & 5.46 & 1.2 & 4.22 \\
d2-6-rls & 1.88 & 2.31 & 0.66 & 3.88 \\
d3-7-loss_interest & 1.04 & 6.08 & 0.41 & 4.59 \\
d3-8-loss_activities & 1.7 & 7.14 & 0.7 & 5.37 \\
d3-9-anxiety & 1.97 & 6.63 & 0.91 & 4.57 \\
d3-10-depression & 2.35 & 7.81 & 0.81 & 4.29 \\
d3-11-flat_affect & 0.91 & 4.95 & 0.39 & 2.71 \\
d3-12-loss_pleasure & 1.09 & 6.82 & 0.36 & 3.43 \\
d4-13-hallucination & 0.58 & 0.82 & 0.2 & 4.63 \\
d4-14-delusion & 0.16 & 1.49 & 0.11 & 3.14 \\
d4-15-diplopia & 0.56 & 1.01 & 0.16 & 4.39 \\
d5-16-loss_concentration & 2.47 & 4.02 & 0.91 & 6.55 \\
d5-17-forget_explicit & 2.18 & 3.77 & 0.86 & 6.69 \\
d5-18-forget_implicit & 1.76 & 3.12 & 0.68 & 6.65 \\
d6-19-drooling & 3 & 2.99 & 0.67 & 6.1 \\
d6-20-swallowing & 1.74 & 1.24 & 0.37 & 4.53 \\
d6-21-constipation & 3.31 & 3.63 & 1.65 & 6.96 \\
d7-22-urinary_urgency & 3.84 & 3.49 & 0.99 & 7.8 \\
d7-23-urinary_frequency & 3.79 & 3.98 & 0.94 & 6.51 \\
d7-24-nocturia & 5.13 & 4.99 & 1.67 & 7.65 \\
d8-25-sex_drive & 2.34 & 4.46 & 0.76 & 5.16 \\
d8-26-sex_dysfunction & 2.39 & 3.21 & 0.79 & 4.61 \\
d9-27-unexplained_pain & 2.98 & 2.48 & 0.7 & 4.24 \\
d9-28-gust_olfact & 3.18 & 3.57 & 1.49 & 4.73 \\
d9-29-weight_change & 1.86 & 2.54 & 0.88 & 3.92 \\
d9-30-sweating & 2.77 & 2.2 & 0.68 & 3.18 \\
tremor & 2.59 & 2.12 & 2.53 & 4.1 \\
bradykin & 2.83 & 2.76 & 1.98 & 3.86 \\
rigidity & 2.61 & 2.42 & 1.87 & 3.61 \\
axial & 4.22 & 4.4 & 2.17 & 7.24 \\
